Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
PTLO54;06;OP1A029;2025-12-10;20:00;0543620;VANDOEUVRE 2;0549584;GRAND NANCY 2; 3/2;16-25,25-18,22-25,25-21,15-11;103-100;GYM B - NATIONS;;;
PTLO54;06;OP1A030;2026-06-09;20:00;0542772;FLAVIGNY;0545068;VILLERS 1; 3/1;22-25,25-19,26-24,25-18;98-86;GYMNASE PAUL VERLAINE;;;
PTLO54;07;OP1A031;2025-12-19;20:00;0542783;NANCY VOLLEY 2;0542772;FLAVIGNY; 0/3;15-25,21-25,25-27;61-77;SALLE PHILIPPE DE GUELDRES;;;
PTLO54;07;OP1A032;2025-12-17;20:00;0545068;VILLERS 1;0543620;VANDOEUVRE 2; 3/0;25-18,25-15,25-19;75-52;GYMNASE CHEPFER;;;
PTLO54;07;OP1A033;2025-12-18;20:00;0549584;GRAND NANCY 2;0542783;NANCY VOLLEY 1; 3/1;23-25,25-22,25-22,27-25;100-94;GYMNASE LA FONTAINE;;;
PTLO54;07;OP1A034;2025-12-17;20:00;0543620;VANDOEUVRE 1;0549584;GRAND NANCY 1; 3/0;25-20,25-22,25-20;75-62;GYM B - NATIONS;GABRION QUENTIN;;
PTLO54;07;OP1A035;2025-12-15;20:30;0548310;SEICHAMPS 1;0548759;TOUL VALCOURT 1; 0/3;12-25,23-25,15-25;50-75;MARTINCHAMPS;;;
PTLO54;08;OP1A036;2026-01-05;20:30;0548310;SEICHAMPS 1;0542783;NANCY VOLLEY 2; 3/1;25-16,22-25,25-17,25-15;97-73;MARTINCHAMPS;;;
PTLO54;08;OP1A037;2026-01-08;20:00;0548759;TOUL VALCOURT 1;0543620;VANDOEUVRE 1; 0/3;17-25,20-25,18-25;55-75;COMPLEXE SPORTIF VALCOURT;;;
PTLO54;08;OP1A038;2026-01-08;20:00;0549584;GRAND NANCY 1;0549584;GRAND NANCY 2; 1/3;21-25,17-25,25-22,21-25;84-97;GYMNASE LA FONTAINE;;;
PTLO54;08;OP1A039;2026-01-09;20:00;0542783;NANCY VOLLEY 1;0545068;VILLERS 1; 3/1;25-22,23-25,25-16,25-19;98-82;SALLE PHILIPPE DE GUELDRES;;;
PTLO54;08;OP1A040;2026-01-07;20:00;0543620;VANDOEUVRE 2;0542772;FLAVIGNY; 0/3;19-25,21-25,9-25;49-75;GYM B - NATIONS;;;
PTLO54;09;OP1A041;2026-01-16;20:00;0542783;NANCY VOLLEY 2;0543620;VANDOEUVRE 2; 3/0;25-17,25-20,26-24;76-61;SALLE PHILIPPE DE GUELDRES;;;
PTLO54;09;OP1A042;2026-01-13;20:00;0542772;FLAVIGNY;0542783;NANCY VOLLEY 1; 2/3;17-25,25-14,26-24,20-25,11-15;99-103;GYMNASE PAUL VERLAINE;;;
